,Value
Weighted standalone volatility,0.20330099035496235
Portfolio volatility,0.16106103450827863
Volatility reduction (absolute),0.04223995584668372
Volatility reduction (relative),0.2077705365474758
Diversification ratio,1.2622605521915518
