,Coefficient,HAC standard error,p-value,CI lower,CI upper
const,0.0001250213789514217,0.0001211476145822842,0.3020835608290994,-0.00011242358244279479,0.0003624663403456382
SPY,1.1599942757812174,0.029861974749268758,0.0,1.101465880765406,1.2185226707970287
