Date,SPY,QQQ,GLD,Equal Weight Portfolio
2019-01-02,0.0,0.0,0.0,0.0
2019-01-03,-0.023862734003634034,-0.032670756771135734,0.0,-0.015822440116987746
2019-01-04,0.0,0.0,-0.00808623590052937,0.0
2019-01-07,0.0,0.0,-0.004655719132593328,0.0
2019-01-08,0.0,0.0,-0.007351151871563211,0.0
2019-01-09,0.0,0.0,-0.0009801743550018616,0.0
2019-01-10,0.0,0.0,-0.006861095852252808,0.0
2019-01-11,0.0,-0.003658110135304593,-0.005145775151903953,-0.0005148584468993578
2019-01-14,-0.006101189407893615,-0.012462564989496827,-0.002777129514315302,-0.004698394401920103
2019-01-15,0.0,0.0,-0.004492387898283323,0.0
2019-01-16,0.0,-0.00018463378440003453,-0.0013068991400027041,0.0
2019-01-17,0.0,0.0,-0.002613735963624686,0.0
2019-01-18,0.0,0.0,-0.011516814984846135,0.0
2019-01-22,-0.013510547283458796,-0.020030289432353632,-0.008004601441564563,-0.009995900793929868
2019-01-23,-0.011446187842050315,-0.01875942918152773,-0.009393135040531964,-0.00933928705679743
2019-01-24,-0.010920832081076748,-0.012405611475168943,-0.01094506219018998,-0.00754286045607333
2019-01-25,-0.002551755416071111,-0.0006052083897473137,0.0,0.0
2019-01-28,-0.010132638406790018,-0.012949796136260017,0.0,-0.005484139761530615
2019-01-29,-0.011446187842050315,-0.02226901890091526,0.0,-0.007198652881039935
2019-01-30,0.0,0.0,0.0,0.0
2019-01-31,0.0,0.0,0.0,0.0
2019-02-01,0.0,-0.00422197485404141,-0.002004008016031955,-0.0019148244573066187
2019-02-04,0.0,0.0,-0.006332672669557726,0.0
2019-02-05,0.0,0.0,-0.0037675448553355917,0.0
2019-02-06,-0.0013182745125080997,-0.0029818030681240115,-0.01050098243361719,-0.0036863265418470847
2019-02-07,-0.010838618579220305,-0.01637155746159047,-0.008096209508861363,-0.010505235836486881
2019-02-08,-0.009630143024071947,-0.01444208951781878,-0.004328664653525549,-0.008202484926974174
2019-02-11,-0.009080835953550026,-0.0153775296643196,-0.0092184491052415,-0.009956492756877044
2019-02-12,0.0,-0.0008185451686489875,-0.007134263644476113,-0.00013870059639609078
2019-02-13,0.0,-0.0001169884190805881,-0.011062102231806925,-0.0001412461454028957
2019-02-14,-0.0022176072382620315,0.0,-0.005531081694638784,0.0
2019-02-15,0.0,0.0,0.0,0.0
2019-02-19,0.0,0.0,0.0,0.0
2019-02-20,0.0,-0.0001742093857671767,-0.0017363346220006237,0.0
2019-02-21,-0.003555850719211384,-0.0038309367483567724,-0.01302284085419858,-0.006173117566384723
2019-02-22,0.0,0.0,-0.009471167933274738,-0.0004758464147012198
2019-02-25,0.0,0.0,-0.010497192057577265,0.0
2019-02-26,-0.0007153636720836909,0.0,-0.008839740680065211,0.0
