Date,SPY,QQQ,GLD,Equal Weight Portfolio
2019-01-02,1.0,1.0,1.0,1.0
2019-01-03,0.976137265996366,0.9673292432288643,1.0090661704238066,0.9841775598830123
2019-01-04,1.0088336356943082,1.0087163223152007,1.000906623330516,1.0065493349904393
2019-01-07,1.0167877667310934,1.020725578396753,1.004368241748112,1.014349572055735
2019-01-08,1.026340959956835,1.0299583402037154,1.0016483717565645,1.0196690635148506
2019-01-09,1.0311373965584916,1.0383521071040815,1.0080771096410572,1.0262089192982726
2019-01-10,1.0347750687291983,1.0413218663473167,1.0021428707072633,1.026380365613033
2019-01-11,1.0351748683657653,1.0375125962739173,1.003873742797413,1.0258519250120655
2019-01-14,1.0288590704235745,1.0283443249129791,1.0062638629800256,1.021558025848996
2019-01-15,1.0406505689133834,1.0484241733717814,1.0045330537712276,1.0315240404775112
2019-01-16,1.0431688839160895,1.0482305988489953,1.007747422713474,1.0333928776643482
2019-01-17,1.0510830622606806,1.0564951784878858,1.006428737884493,1.038271331756742
2019-01-18,1.0650729815010176,1.0669547033552986,0.9974449420315684,1.0432148197889575
2019-01-22,1.0506832626241136,1.045583291835881,1.0009889979013982,1.0327869479435896
2019-01-23,1.0528819560892644,1.046939242157807,0.9995878756201834,1.0334719371250431
2019-01-24,1.0534414983159532,1.0537184778438686,0.9980218784345012,1.0353459959775817
2019-01-25,1.0623551757519614,1.0663089734173476,1.0126102262936365,1.047434481464777
2019-01-28,1.054280982102626,1.0531378574602237,1.0161542821634661,1.0416902043773777
2019-01-29,1.0528819560892644,1.043194668899859,1.0218412716219107,1.03989436421708
2019-01-30,1.0695502056370523,1.0697308880757475,1.0276930731034708,1.0561843963521116
2019-01-31,1.0789431108434269,1.0857432983076263,1.0281875720541698,1.0647155200889906
2019-02-01,1.0794626321992655,1.0811593174042275,1.0261270759177887,1.0626767767710503
2019-02-04,1.087057189006301,1.0945891174384434,1.0216763967174434,1.06803259935589
2019-02-05,1.0916139776334468,1.104273931475857,1.024313829256757,1.0735939276379298
2019-02-06,1.090174930749235,1.1009812040789329,1.0173905924215654,1.0696363098473123
2019-02-07,1.0797823900941323,1.0861952473533636,1.0198631500564117,1.0623155702354732
2019-02-08,1.0811015789017606,1.088325908505289,1.0237368928538246,1.0647877896287887
2019-02-11,1.0817012101779553,1.087292926337052,1.0187092772505466,1.0629046974735756
2019-02-12,1.095611496748526,1.1033700333843823,1.0208522108391616,1.0734450195198793
2019-02-13,1.099168172676354,1.1041447442143817,1.0168136560186332,1.073442286633923
2019-02-14,1.0967306493805598,1.1055003849821667,1.0225005825957258,1.0750893252831901
2019-02-15,1.1086816859245237,1.1101497849940123,1.028599696433987,1.0826391627854877
2019-02-19,1.1106004378296908,1.1123447302225344,1.0442594167654022,1.0894713852271187
2019-02-20,1.112838947629725,1.112150949330321,1.0424462329857223,1.0895095316830334
2019-02-21,1.1088818584574294,1.1080834079186839,1.0306601925703682,1.0827838612542573
2019-02-22,1.1157564486610974,1.1162830843726956,1.0343690604633136,1.0889910924785993
2019-02-25,1.1172756054656647,1.1203510385231872,1.0332976251096821,1.0904321579804996
2019-02-26,1.1164763470858092,1.121513414322327,1.03502843431848,1.0911580881880978
2019-02-27,1.1159968466008203,1.1208026780147837,1.0276930731034712,1.0881936600500144
2019-02-28,1.1139179430335973,1.1182201710018347,1.021923646192793,1.0846458078574417
2019-03-01,1.1208728476935879,1.1259684143336774,1.0045330537712283,1.0832557333252182
2019-03-04,1.1167959004447092,1.1261616793023226,1.0018956212319148,1.081056296531607
2019-03-05,1.1152772890693867,1.1270010869477731,1.0032143689422475,1.0813092024223414
2019-03-06,1.1085219433344016,1.120609206676711,1.0023077456117315,1.0767560251981891
2019-03-07,1.0992485553113325,1.1068563353040923,1.0014835597334495,1.0690534491089096
2019-03-08,1.0970500663821485,1.1051777263826181,1.0124453513891694,1.0717007837044847
2019-03-11,1.1129586011703416,1.1281630500080584,1.007500173238125,1.0825659204523448
2019-03-12,1.117155406495804,1.1343617684951888,1.0135992870763866,1.088093894792966
2019-03-13,1.124550199841867,1.142884619472317,1.020687335934694,1.0957561070294883
2019-03-14,1.1238306423104334,1.1409476360278916,1.0089013584006918,1.0906857582185967
2019-03-15,1.1293832483815927,1.1515362449720665,1.013516849624153,1.09751930220114
2019-03-18,1.1334780584382445,1.1542785851064419,1.0140937860270856,1.099925214118867
2019-03-19,1.1337594317499962,1.1581598781099611,1.0168960305895147,1.1022622124500017
2019-03-20,1.1303467491428416,1.1627522169751645,1.0234896433784753,1.1049955295222007
2019-03-21,1.1431134069440103,1.1809286170214737,1.019368651105713,1.1134304280212999
2019-03-22,1.1211130410973444,1.154990146891694,1.0217588341696773,1.0990056749458528
2019-03-25,1.120269943841924,1.1527912806440537,1.029588694335385,1.1008400271546035
2019-03-26,1.1286204655824952,1.158159878109961,1.0244787041612247,1.103462936685398
2019-03-27,1.122718784794552,1.1507211889190343,1.0191214016303636,1.097253655813619
2019-03-28,1.126974564657127,1.1533735519831168,1.0046979286756959,1.0943066915843127
2019-03-29,1.1340802123246976,1.1621056615595042,1.0056045520062118,1.0996973842540305
2019-04-01,1.1475294066472974,1.177500098541401,1.0016483717565652,1.1074583188184113
2019-04-02,1.148091880556178,1.181963456514556,1.0053573025308622,1.1104054592683517
2019-04-03,1.1498986149301584,1.1887553839203953,1.0038737427974136,1.1125686547291684
2019-04-04,1.1529497461265499,1.1883021966580942,1.0064287378844938,1.1143551800241913
2019-04-05,1.1585301690892027,1.1944472590941324,1.0053573025308624,1.1176784960169295
2019-04-08,1.1594132190368176,1.1974875966814964,1.0097255442789743,1.1205295348244382
2019-04-09,1.153471721913991,1.1932833355242882,1.0150004093576017,1.1192553374064986
2019-04-10,1.1574059030579975,1.199686772483278,1.0181323408476144,1.1236811003937648
2019-04-11,1.1570847815900183,1.1968405253422685,1.0051099901741616,1.1178977492059017
2019-04-12,1.164913736615082,1.202015445100676,1.0041209922727636,1.1216635557010528
2019-04-15,1.164150953815984,1.202209638731744,1.0022253081594983,1.1207732744900287
2019-04-16,1.164913736615082,1.2063490998887871,0.9932415751879257,1.1189556236999532
2019-04-17,1.1620630506662188,1.2105534642307092,0.9913458910746602,1.1186309370955978
2019-04-18,1.1643518081354463,1.2121061878015442,0.9920877023820605,1.1201226340298691
2019-04-22,1.1653552615888896,1.2155342935427622,0.9920877023820605,1.1215003980241454
2019-04-23,1.1758337755287316,1.2309936337095377,0.9900272062456793,1.12883983500694
2019-04-24,1.1732241693061476,1.2271126502601595,0.9929118882603424,1.127914806943609
2019-04-25,1.1725010664846216,1.2320934795722125,0.9937360741386244,1.1295212261801888
2019-04-26,1.1779612222987574,1.2331930158807465,1.0003296869275848,1.1341087514757282
2019-04-29,1.1798079093649325,1.2355861789441684,0.9958790077272393,1.1337530604147303
2019-04-30,1.1804106086806303,1.2260131139516257,0.9989285017650182,1.132175316824369
2019-05-01,1.1715378384379955,1.2220672273173687,0.9923349518574097,1.1256329384102575
2019-05-02,1.1690085466717342,1.2167632234821995,0.9885436465122306,1.121760862266291
2019-05-03,1.1804508340874476,1.2361686566526593,0.9943954479937909,1.1335977020672863
2019-05-06,1.1755928321597644,1.2286004706461162,0.995714132822772,1.1302303297792198
2019-05-07,1.1559606519161252,1.2046673954259046,0.999010939217252,1.1178472378867974
2019-05-08,1.1543547718616067,1.2016273673926816,0.9965383815824058,1.1154670564988192
2019-05-09,1.1508621156914076,1.195158820879386,0.9989285017650185,1.1132322675227717
