,SPY,QQQ,GLD
SPY,0.03719940229400506,0.043151093723528565,0.004405766796645814
QQQ,0.043151093723528565,0.057295330641703716,0.0061459340579738935
GLD,0.004405766796645814,0.0061459340579738935,0.03156558943988693
