Date,Actual excess return,Fitted excess return,Residual
2019-01-03,-0.03278806048497018,-0.02769168510632971,-0.005096375378640473
2019-01-04,0.04266759023622324,0.0388437327832892,0.0038238574529340374
2019-01-07,0.011788180331460563,0.009134904184244005,0.002653276147216558
2019-01-08,0.008927989166416683,0.010887634620262024,-0.001959645453845341
2019-01-09,0.008032314161686704,0.00540999325437112,0.0026223209073155847
2019-01-10,0.002742765835711314,0.004081206418616763,-0.0013384405829054494
2019-01-11,-0.003775413849139042,0.0004371295486852211,-0.004212543397824263
2019-01-14,-0.008954084485330527,-0.0070883950462380056,-0.0018656894390925213
2019-01-15,0.019409082509477926,0.013283356278957782,0.006125726230520144
2019-01-16,-0.0003019374982345946,0.00279606970657583,-0.0030980072048104245
2019-01-17,0.007767010718472189,0.008789443812687286,-0.0010224330942150972
2019-01-18,0.009782906983182738,0.015428477616156214,-0.0056455706329734765
2019-01-22,-0.02014759314618808,-0.015683207769108098,-0.004464385377079983
2019-01-23,0.0011795325425532077,0.002416390936596752,-0.0012368583940435443
2019-01-24,0.00635798674532273,0.0006054156018798247,0.005752571143442906
2019-01-25,0.01183132947255694,0.009804221704282237,0.0020271077682747028
2019-01-28,-0.012469367032698409,-0.008827328117002844,-0.0036420389156955647
2019-01-29,-0.009558791824749058,-0.0015503573253967443,-0.008008434499352313
2019-01-30,0.025320152944061647,0.018352902083760052,0.006967250860301595
2019-01-31,0.014851330370091231,0.010176144522877068,0.0046751858472141635
2019-02-01,-0.004339278567875748,0.0005474980039683269,-0.004886776571844075
2019-02-04,0.012304362379244038,0.008150086738204552,0.004154275641039486
2019-02-05,0.008730595359087046,0.004851480230091685,0.0038791151289953602
2019-02-06,-0.0030991067819585716,-0.0015402411460420876,-0.001558865635916484
2019-02-07,-0.01354710312438756,-0.011069172519211882,-0.0024779306051756784
2019-02-08,0.0018442783839669463,0.0014061347970328692,0.0004381435869340771
2019-02-11,-0.001066451538180191,0.000632338727776854,-0.001698790265957045
2019-02-12,0.014669058505491162,0.014906056836749438,-0.00023699833125827643
2019-02-13,0.0005848277620612574,0.0037546310348166613,-0.003169803272755404
2019-02-14,0.0011104707920792656,-0.002583461959939239,0.003693932752018505
2019-02-15,0.004088393611110908,0.012629367869178409,-0.008540974258067501
2019-02-19,0.0018598576189796656,0.0019965063340425682,-0.00013664871506290262
2019-02-20,-0.00029151309960162575,0.0023270170309083412,-0.002618530130509967
2019-02-21,-0.0037746682236488027,-0.004135816737442019,0.0003611485137932167
2019-02-22,0.007282569251877868,0.0071804149320846625,0.00010215431979320594
2019-02-25,0.0035268921065989556,0.0015683385054222868,0.001958553601176669
2019-02-26,0.0009202066370928019,-0.0008408680223434593,0.0017610746594362613
2019-02-27,-0.0007510333674140002,-0.0005092406754270059,-0.0002417926919869943
2019-02-28,-0.002421462209889591,-0.0021719132073945544,-0.0002495490024950367
2019-03-01,0.006811781928486749,0.007231538520703517,-0.0004197565922167681
2019-03-04,5.433961663992015e-05,-0.0042302937526315105,0.004284633369271431
2019-03-05,0.0006280667430706988,-0.0015884024862715055,0.0022164692293422045
2019-03-06,-0.0057888867718181025,-0.007037251239484807,0.001248364467666705
2019-03-07,-0.01238997762252414,-0.009715032292929316,-0.0026749453295948234
2019-03-08,-0.0016338590859578117,-0.002331030175632665,0.0006971710896748534
2019-03-11,0.02068054904481098,0.01681025066187445,0.003870298382936531
2019-03-12,0.005377219872172212,0.004363119768992187,0.0010141001031800248
2019-03-13,0.007396040982570851,0.00766730666759924,-0.0002712656850283896
2019-03-14,-0.0018121234807849662,-0.0007532871250186688,-0.0010588363557662976
2019-03-15,0.009163235208212939,0.005720232567135661,0.0034430026410772778
2019-03-18,0.0022641585687026566,0.0041947463423641475,-0.0019305877736614909
2019-03-19,0.003245223368967931,0.0002769054099421178,0.0029683179590258135
2019-03-20,0.0038478991497785664,-0.0035027012891373564,0.007350600438915923
2019-03-21,0.015514917649367188,0.01309046039071727,0.002424457258649919
2019-03-22,-0.02208177282391599,-0.02233630538296744,0.00025453255905144925
2019-03-25,-0.002021100255785946,-0.0008833869037644569,-0.001137713352021489
2019-03-26,0.004539738333627863,0.008635577702088114,-0.004095839368460251
2019-03-27,-0.006540155456087882,-0.006076788156475153,-0.00046336729961272884
2019-03-28,0.0021876534639977407,0.004386026148713149,-0.002198372684715408
2019-03-29,0.007453625549606269,0.0073027888285378305,0.00015083672106843814
2019-04-01,0.013129716321536478,0.013745462075930245,-0.0006157457543937671
2019-04-02,0.0036732335257665394,0.0005575334412317891,0.00311570008453475
2019-04-03,0.005629005419840238,0.0018144147309959704,0.0038145906888442677
2019-04-04,-0.0004985320711828889,0.0030668686793303463,-0.003565400750513235
2019-04-05,0.005053992319548506,0.005603469121787411,-0.0005494768022389048
