,Value
Observations,1933.0
Cumulative return,3.027714222588296
Annualised return,0.1986016088917213
Annualised volatility,0.16106103450827863
Sharpe,1.0251357879527985
Maximum drawdown,-0.2296785661391505
Historical VaR 95%,0.01569691688682792
Historical VaR 99%,0.028035331299278397
