,Observations,Cumulative return,Annualised return,Annualised volatility,Sharpe,Maximum drawdown,Historical VaR 95%,Historical VaR 99%
SPY,1933.0,2.4149671375470976,0.17315511781688997,0.19287146573302405,0.7738118253863264,-0.33717269301235475,0.01709694158409567,0.033654694960671215
QQQ,1933.0,3.834242631424843,0.22738888847434913,0.23936443061094878,0.8548895463434568,-0.35118700519744817,0.02363207845616797,0.040480338657256934
GLD,1933.0,2.286656086669624,0.1673276462148694,0.17766707472091425,0.7961628305078325,-0.26404517857029686,0.017495166706845984,0.03143899112063268
Equal Weight Portfolio,1933.0,3.027714222588296,0.1986016088917213,0.16106103450827863,1.0251357879527985,-0.2296785661391505,0.01569691688682792,0.028035331299278397
