Date,SPY,QQQ,GLD,BZ=F,GBPUSD=X
2019-01-01,,,,,1.2738043069839478
2019-01-02,223.8059539794922,147.87838745117188,121.33000183105469,54.90999984741211,1.2754288911819458
2019-01-03,218.46533203125,143.04708862304688,122.43000030517578,55.95000076293945,1.2521913051605225
2019-01-04,225.78297424316406,149.16734313964844,121.44000244140625,57.060001373291016,1.2628813982009888
2019-01-07,227.5631561279297,150.94325256347656,121.86000061035156,57.33000183105469,1.2734960317611694
2019-01-08,229.7012176513672,152.30857849121094,121.52999877929688,58.720001220703125,1.278608798980713
2019-01-09,230.77468872070312,153.54983520507812,122.30999755859375,61.439998626708984,1.2737879753112793
2019-01-10,231.5888214111328,153.98899841308594,121.58999633789062,61.68000030517578,1.279967188835144
2019-01-11,231.6782989501953,153.42568969726562,121.80000305175781,60.47999954223633,1.2753963470458984
2019-01-14,230.26478576660156,152.0699005126953,122.08999633789062,58.9900016784668,1.2849836349487305
2019-01-15,232.90379333496094,155.03927612304688,121.87999725341797,60.63999938964844,1.2874983549118042
2019-01-16,233.4674072265625,155.01065063476562,122.2699966430664,61.31999969482422,1.2872166633605957
2019-01-17,235.2386474609375,156.23280334472656,122.11000061035156,61.18000030517578,1.2885768413543701
2019-01-18,238.3696746826172,157.779541015625,121.0199966430664,62.70000076293945,1.2983977794647217
2019-01-21,,,,,1.2853471040725708
2019-01-22,235.149169921875,154.61917114257812,121.44999694824219,61.5,1.2891747951507568
2019-01-23,235.64125061035156,154.81968688964844,121.27999877929688,61.13999938964844,1.2957731485366821
2019-01-24,235.7664794921875,155.8221893310547,121.08999633789062,61.09000015258789,1.308215618133545
2019-01-25,237.76141357421875,157.68405151367188,122.86000061035156,61.63999938964844,1.3121638298034668
2019-01-28,235.95436096191406,155.736328125,123.29000091552734,59.93000030517578,1.3208470344543457
2019-01-29,235.64125061035156,154.2659454345703,123.9800033569336,61.31999969482422,1.3160146474838257
2019-01-30,239.3717041015625,158.19007873535156,124.69000244140625,61.650001525878906,1.30804443359375
2019-01-31,241.47389221191406,160.55796813964844,124.75,61.88999938964844,1.3117163181304932
2019-02-01,241.5901641845703,159.88009643554688,124.5,61.869998931884766,1.3109424114227295
2019-02-04,243.2898712158203,161.86607360839844,123.95999908447266,62.5099983215332,1.3077365159988403
2019-02-05,244.30970764160156,163.29824829101562,124.27999877929688,61.97999954223633,1.3031013011932373
2019-02-06,243.98764038085938,162.8113250732422,123.44000244140625,62.689998626708984,1.2957228422164917
2019-02-07,241.66172790527344,160.6248016357422,123.73999786376953,61.630001068115234,1.2934435606002808
2019-02-08,241.95697021484375,160.93988037109375,124.20999908447266,62.099998474121094,1.2949174642562866
2019-02-11,242.09117126464844,160.78712463378906,123.5999984741211,61.5099983215332,1.293677806854248
2019-02-12,245.20437622070312,163.16458129882812,123.86000061035156,62.41999816894531,1.2864052057266235
2019-02-13,246.00038146972656,163.27914428710938,123.37000274658203,63.61000061035156,1.2892080545425415
2019-02-14,245.45484924316406,163.4796142578125,124.05999755859375,64.56999969482422,1.2856775522232056
2019-02-15,248.1295623779297,164.1671600341797,124.80000305175781,66.25,1.2798361778259277
2019-02-18,,,,,1.290555715560913
