Ticker,Cumulative return,Annualised return,Annualised volatility,Maximum drawdown,Historical VaR 95%,Historical VaR 99%
LQD,0.34472594006420443,0.027304229082891096,0.08451701951767449,-0.24954897234056517,0.00749196999939343,0.013540982606757271
HYG,0.61158757551474,0.04435818500405264,0.08306910005337918,-0.2202871952813641,0.006987848166238607,0.014280907946811408
SPY,2.9974319194575147,0.13430856048801454,0.17792498960615788,-0.3371727036122819,0.016743648450351516,0.03215589587687314
