Date,LQD,HYG,SPY
2015-01-02,100.0,100.0,100.0
2015-01-05,100.40884200424274,99.07360560359385,98.19410426825932
2015-01-06,100.8178280582142,98.69409694460364,97.26919682606643
2015-01-07,100.95127574783562,99.30795573162034,98.48128252565755
2015-01-08,100.62586735957721,100.05574474826824,100.22884475129878
2015-01-09,100.89290678854881,100.55796327013428,99.42563447047436
2015-01-12,101.08487709050944,100.43512644403975,98.6467816511457
2015-01-13,101.1766655921435,100.43512644403975,98.36935719542998
2015-01-14,101.35188770963597,100.20077631601328,97.77544800362257
2015-01-15,101.87764049202619,99.58698101039793,96.87976590874213
2015-01-16,101.31018050490452,99.96641825257761,98.15027526113369
2015-01-20,101.5438099949784,99.78785254882521,98.35959437901826
2015-01-21,101.50212199689423,100.32354172529729,98.85610978375944
2015-01-22,101.45204069999163,100.45749576011598,100.32620248062986
2015-01-23,102.04455574048714,100.45749576011598,99.77614933954486
2015-01-26,102.01951029043697,100.91515815945644,100.00977183114088
2015-01-27,102.09466584736064,100.83696474330834,98.69060164354214
2015-01-28,102.78725705174855,100.62493631994305,97.42496017814885
2015-01-29,102.54524386617987,100.98209153346738,98.32551015884599
2015-01-30,103.38805975450242,100.70301070828165,97.08907601189755
2015-02-02,103.48436181497401,101.08964517292858,98.29142593926447
2015-02-03,102.64756720616744,101.66123317369207,99.71285780092771
2015-02-04,102.78981153394837,101.23535916755806,99.33316265700913
2015-02-05,102.4635100372209,101.82926093798956,100.33592022457725
2015-02-06,101.3923656896969,101.90768447497156,100.05848675472315
2015-02-09,101.45933922079635,101.66123317369207,99.61063218518916
2015-02-10,101.18318624411104,102.0085408096391,100.6717953755086
2015-02-11,101.25014056856322,101.97499080302137,100.73022804244745
2015-02-12,101.50958377407491,101.96378630708436,101.69893744875998
2015-02-13,101.1078962407823,102.10934953289161,102.11756666979998
2015-02-17,100.63929279645791,102.04211462165232,102.27821593774821
2015-02-18,100.99914828181178,102.3896206372125,102.28794269583399
2015-02-19,100.98234247752767,102.15421512826268,102.21492439913106
2015-02-20,101.13295129428197,102.43440688057193,102.82826006410404
2015-02-23,101.47602018199902,102.51282248235273,102.81365640488163
2015-02-24,102.13712211070654,102.61365501120876,103.10573860701328
2015-02-25,102.22916990182709,102.94986924382712,103.01812566522632
2015-02-26,101.67691196520059,102.92743644614157,102.89642850385788
2015-02-27,101.91955896962592,102.94986924382714,102.54593166424573
2015-03-02,101.03605382812239,102.93069781153359,103.19339662185534
2015-03-03,100.9773487528858,102.63816683014433,102.76984542662358
2015-03-04,100.91022156873399,102.44676991504747,102.33662156049954
2015-03-05,101.04443752374304,102.63816683014433,102.44861900796975
2015-03-06,99.9705178175755,101.98534623305741,101.00767954175991
2015-03-09,100.37327131903679,101.77156413169004,101.42631777752908
2015-03-10,100.53260955055927,101.37766102818134,99.78098116762642
2015-03-11,101.04443752374306,101.65897164302325,99.54734966130123
2015-03-12,100.94375635083898,101.86158892445944,100.8129911272853
2015-03-13,100.65848982656584,101.51269424952685,100.19476954644651
2015-03-16,100.759142189499,101.4114252848146,101.53343832327191
2015-03-17,100.92698895972352,100.90497730363808,101.23161133359615
2015-03-18,102.16877464276288,101.80524903651961,102.4486190079698
2015-03-19,101.64858218073161,100.99500209640749,101.98125683447998
2015-03-20,101.93381029171016,101.78278449802937,102.88143721659782
2015-03-23,102.16877464276288,101.86158892445944,102.68096142574589
2015-03-24,102.31976759208511,102.01915016590452,102.10400870439283
2015-03-25,101.98421810136473,101.74901230619497,100.60780971278803
2015-03-26,101.35487434114773,101.73778400465446,100.36817447953912
2015-03-27,101.75762784248317,101.8165328844683,100.59801083745958
2015-03-30,101.93381029171016,102.09796252732772,101.82526811712201
2015-03-31,102.11842445305015,101.97407032030988,100.93537339861886
2015-04-01,102.41202665619986,102.18436887106857,100.57844914571945
2015-04-02,102.24373813333966,102.2634430939223,100.94029537281064
2015-04-06,102.37838623753485,102.5235429314345,101.61996049818856
2015-04-07,102.74853647852889,103.0661357279306,101.35098272732945
2015-04-08,102.7149056633134,103.04352042082618,101.69325824795132
2015-04-09,102.19326310041963,102.94178327966101,102.14312307373467
2015-04-10,102.33629490023546,103.17915671725247,102.70053213221519
2015-04-13,102.30265448157046,102.98702976427217,102.23602758829269
2015-04-14,102.53821423831113,103.03226831368215,102.4315994344112
2015-04-15,102.60549507551528,103.43920894355767,102.8912090477387
2015-04-16,102.5466171404532,103.22445081307063,102.86186651012852
2015-04-17,102.82423942452235,102.90784444860208,101.67859148621542
2015-04-20,102.58032478225778,103.13398164924384,102.60763663238635
2015-04-21,102.5550392492425,103.20184344116741,102.4854166238149
2015-04-22,101.89040329995333,103.10010629979425,102.98898144870418
2015-04-23,102.15120057309113,103.06613572793061,103.24815133009646
2015-04-24,102.34479383561386,103.23571085541585,103.48775951915783
2015-04-27,102.26902366635491,103.26961794567013,103.05746539984378
2015-04-28,101.6632752554515,103.11134253653596,103.38507415872975
2015-04-29,100.82198629432877,102.91919177816018,102.95969299887828
2015-04-30,100.90615936572978,102.86272492700166,101.92798953587602
2015-05-01,100.34933985364754,103.09204414123172,103.03302680696697
2015-05-04,100.02869471051538,103.06933361171329,103.32638908291858
2015-05-05,99.85999324511636,102.93311011102462,102.14312307373467
2015-05-06,99.42973584451555,102.62655763915573,101.72259177083231
2015-05-07,99.8262952065095,102.61516269839066,102.12845631199876
2015-05-08,100.39993012632536,103.42138649442269,103.4731017721511
2015-05-11,99.38756768062706,102.7740967288058,102.97925469061839
2015-05-12,99.2441517482433,102.76277320485126,102.67116255041746
2015-05-13,99.15136450170604,102.61516269839066,102.6907603010743
2015-05-14,99.4888154491223,103.11477847635366,103.7615601033693
2015-05-15,100.18057116498302,103.3418282245057,103.8740353249874
2015-05-18,99.41285321364234,103.17154686474055,104.19673112441079
2015-05-19,98.88133844122264,103.01258902892991,104.16252971453153
2015-05-20,98.99949765056203,102.8876731815854,104.08915984811688
2015-05-21,99.47193281824907,103.03525988244249,104.39230296993853
2015-05-22,99.404431104853,103.11477847635364,104.1429590080622
2015-05-26,99.84315863073542,102.89901257594227,103.02322793163859
2015-05-27,99.94431036612016,103.12603851869883,104.0011412488339
