Period,Ticker,Requested start,Requested end,Base price date,First return date,Last return date,Observations,Cumulative return,Maximum drawdown,Correlation with SPY
Q4 2018,LQD,2018-10-01,2018-12-31,2018-09-28,2018-10-01,2018-12-31,63,-0.0058559969695562986,-0.024967103034335025,0.16836645760188992
Q4 2018,HYG,2018-10-01,2018-12-31,2018-09-28,2018-10-01,2018-12-31,63,-0.044073296283997254,-0.06410802369576829,0.8444635600463493
Q4 2018,SPY,2018-10-01,2018-12-31,2018-09-28,2018-10-01,2018-12-31,63,-0.13532093754868058,-0.19203235110938122,1.0
COVID sell-off,LQD,2020-02-20,2020-03-23,2020-02-19,2020-02-20,2020-03-23,23,-0.12298009743367622,-0.21762111858155986,0.2427947731172509
COVID sell-off,HYG,2020-02-20,2020-03-23,2020-02-19,2020-02-20,2020-03-23,23,-0.21896150394085856,-0.2202871952813642,0.9160872202750778
COVID sell-off,SPY,2020-02-20,2020-03-23,2020-02-19,2020-02-20,2020-03-23,23,-0.33717270361228224,-0.33717270361228224,1.0
2022 repricing,LQD,2022-01-01,2022-12-30,2021-12-31,2022-01-03,2022-12-30,251,-0.17921671896535707,-0.23483657423645476,0.47103885758074626
2022 repricing,HYG,2022-01-01,2022-12-30,2021-12-31,2022-01-03,2022-12-30,251,-0.10982807227325497,-0.15557966654814237,0.8063296180376199
2022 repricing,SPY,2022-01-01,2022-12-30,2021-12-31,2022-01-03,2022-12-30,251,-0.18175372022795377,-0.2449639052108964,0.9999999999999999
