Date,LQD,HYG,SPY
2015-01-02,0.0,0.0,0.0
2015-01-05,0.0,-0.009263943964061494,-0.01805895731740681
2015-01-06,0.0,-0.013059030553963513,-0.027308031739335603
2015-01-07,0.0,-0.006920442683796546,-0.01518717474342457
2015-01-08,-0.003223420267330135,0.0,0.0
2015-01-09,-0.0005781894171661417,0.0,-0.008013763730565282
2015-01-12,0.0,-0.0012215524469657568,-0.01578450898120909
2015-01-13,0.0,-0.0012215524469657568,-0.01855241932083329
2015-01-14,0.0,-0.003552050404615703,-0.024477950970740125
2015-01-15,0.0,-0.009655945965492019,-0.03341432150462109
2015-01-16,-0.00557001501390364,-0.005882627276047492,-0.02073823653582685
2015-01-20,-0.0032767788440675183,-0.007658376286324375,-0.0186498245781318
2015-01-21,-0.003685975581279255,-0.0023312081630696424,-0.013696007082048656
2015-01-22,-0.004177558392391978,-0.0009991004864370323,0.0
2015-01-23,0.0,-0.0009991004864370323,-0.005482646880720976
2015-01-26,-0.0002454364161658118,0.0,-0.0031540180099020043
2015-01-27,0.0,-0.0007748431214321672,-0.016302828141068315
2015-01-28,0.0,-0.00287589936741528,-0.028918091493009168
2015-01-29,-0.002354505728729084,0.0,-0.019941872335596078
2015-01-30,0.0,-0.0027636665169807895,-0.03226601215527236
2015-02-02,0.0,0.0,-0.020281606310756706
2015-02-03,-0.00808619383770004,0.0,-0.006113504394034797
2015-02-04,-0.006711644820958207,-0.004189148536162146,-0.0098981103546949
2015-02-05,-0.00986479270731122,0.0,0.0
2015-02-06,-0.020215577393398965,0.0,-0.002765046348636946
2015-02-09,-0.01956839235089758,-0.002418377991308618,-0.007228598071006953
2015-02-10,-0.022236940253614,0.0,0.0
2015-02-11,-0.021589940810626707,-0.0003288940940773255,0.0
2015-02-12,-0.0190828643696902,-0.0004387328962803805,0.0
2015-02-13,-0.02296448982736865,0.0,0.0
2015-02-17,-0.027492743527789854,-0.0006584598917422912,0.0
2015-02-18,-0.02401535352371098,0.0,0.0
2015-02-19,-0.024177752981845213,-0.002299114963848936,-0.0007138504771774246
2015-02-20,-0.022722375433848252,0.0,0.0
2015-02-23,-0.0194071992883893,0.0,-0.00014201990010631604
2015-02-24,-0.013018775790261672,0.0,0.0
2015-02-25,-0.012129290755941935,0.0,-0.0008497387533481504
2015-02-26,-0.017465922561372693,-0.0002179002057051127,-0.002030052895049761
2015-02-27,-0.015121152780029568,0.0,-0.005429445056412074
2015-03-02,-0.02365872431265592,-0.0001862210455861879,0.0
2015-03-03,-0.024226008820256828,-0.0030277106320997227,-0.0041044408760362305
2015-03-04,-0.024874678657655247,-0.004886837957881585,-0.008302615180847184
2015-03-05,-0.023577710181886813,-0.0030277106320997227,-0.007217299151560663
2015-03-06,-0.03395531397952778,-0.009368860959748648,-0.02118078434906867
2015-03-09,-0.030063387756110616,-0.011445426019399796,-0.017123952715710877
2015-03-10,-0.028523655290954464,-0.015271590213700836,-0.03306815712960254
2015-03-11,-0.02357771018188659,-0.012539089270201309,-0.035332173180758764
2015-03-12,-0.02455062213822723,-0.010570973303426046,-0.023067420711936237
2015-03-13,-0.027307236947169966,-0.013959949680911965,-0.02905832324133184
2015-03-16,-0.02633460339010052,-0.014943622272786783,-0.016085896510086073
2015-03-17,-0.02471265039854975,-0.019862987250094832,-0.01901076379381139
2015-03-18,-0.012712908009843482,-0.011118228859490764,-0.007217299151560219
2015-03-19,-0.017739681648950012,-0.018988534534121082,-0.011746292176205375
2015-03-20,-0.014983438039036012,-0.011336437378406283,-0.003023055887971915
2015-03-23,-0.012712908009843482,-0.010570973303426046,-0.004965775067829359
2015-03-24,-0.011253818475212007,-0.009040507625301508,-0.010556759958725848
2015-03-25,-0.014496332463174166,-0.011664482397622522,-0.025055739937914878
2015-03-26,-0.02057786738477163,-0.011773548116918664,-0.027377935360234695
2015-03-27,-0.016685941162570717,-0.011008623592076994,-0.025150696356147195
2015-03-30,-0.014983438039036012,-0.008274966474039469,-0.013257907477808306
2015-03-31,-0.013199456787162611,-0.009478389148860233,-0.021881470105212575
